Recency,Frequency,Monetary,Count,labels,Nhận xét
6.522287,11.50202,98.97032,247,0,"khách hàng trung thành, thường xuyên và tạo giá trị tốt"
340.4962,8.952122,57.21416,919,1,khách hàng dễ rời bỏ
89.24109,7.13141,49.80144,624,2,"khách hàng phổ thông, cần được chăm sóc để tăng giá trị"
398.4874,3.08384,15.6775,398,3,khách hàng rời bỏ/không còn hoạt động
173.5491,13.57957,125.9283,1018,4,"khách hàng tốt nhất, cần tập trung duy trì, gia tăng sự trung thành"
38.88455,14.48398,129.8969,894,5,"khách hàng VIP hiện tại, có giá trị cao và nên chăm sóc đặc biệt"
